 0  0   -14.3645   709.813  -12797.7   216225       -6.07467e+06   -0.000215569
 0  1	-14.3157   687.908  -17421.7   475351       -9.08541e+06   -0.000219553
 0  2	-14.4272   640.262  -10229.1   196515       -6.19781e+06   -0.000246511
 0  3	-14.3277   592.398  -11889     309033       -6.62915e+06   -0.000291429
 0  4	-14.1021   631.087  -2030.96  -231503       -230068        -0.000272551
 0  5	-14.1723   656.089  -23266.4   818548       -1.3983e+07    -0.000225014
 0  6	-13.9986   638.41   -21116.2   691951       -1.15807e+07   -0.000263889
 1  0	-14.0493   639.172  -16488.2   487033       -9.95763e+06   -0.000291254
 1  1	-14.1884   662.276  -22674.3   818348       -1.51186e+07   -0.000286878
 1  2	-14.0441   666.744  -21863.7   737587       -1.35707e+07   -0.000309967
 1  3	-13.6497   771.69   -27937.1   907923       -1.59892e+07   -0.000301508
 1  4	-14.123    709.042  -27325.4   1.02041e+06  -1.77876e+07   -0.000271252
 1  5	-13.5613   563.384  -6652.12   57325.9      -5.46784e+06   -0.000331902
 1  6	-13.9623   621.988  -18978.4   583890       -9.44274e+06   -0.000331676
 2  0	-13.4566   648.453  -25741.5   931287       -1.45476e+07   -0.000300576
 2  1	-14.299    678.461  -26899.5   979061       -1.6021e+07    -0.000281556
 2  2	-14.0872   667.43   -23133.8   770251       -1.27168e+07   -0.000296619
 2  3	-13.7962   737.116  -25706.6   850212       -1.4838e+07    -0.000327919
 2  4	-14.2872   600.94   -19617.6   674121       -1.15158e+07   -0.000309986
 2  5	-14.1048   649.377  -26680.4   923012       -1.41314e+07   -0.000324083
 2  6	-13.9153   677.468  -17052.1   461035       -9.0738e+06    -0.000325269
 3  0	-13.4282   516.231   24229.9  -1.61656e+06   1.88399e+07   -0.000375784
 3  1	-14.1409   544.14   -10180.8   428323       -1.06182e+07   -0.000316102
 3  2	-14.088    580.493  -9372.86   340560       -9.70029e+06   -0.000304718
 3  3	-14.1446   541.496  -7777      309776       -9.33764e+06   -0.000305347
 3  4	-14.0847   455.143   18507.7  -1.02546e+06   9.52459e+06   -0.000345319
 3  5	-13.8246   534.443   4191.81  -416614        2.23707e+06   -0.000334132
 3  6	-13.7164   429.225   22545.9  -1.18685e+06   1.21154e+07   -0.000338988
 4  0	-13.519    598.112  -24155.1   900099       -1.46508e+07   -0.000368942
 4  1	-13.6499   534.184  -18267.1   756862       -1.35206e+07   -0.000364897
 4  2	-13.5847   522.763  -12789     538646       -1.12086e+07   -0.000374678
 4  3	-13.4139   516.804  -1764.79   20548.1      -4.75856e+06   -0.000387937
 4  4	-13.8547   605.938  -8283.51   100365       -3.79981e+06   -0.00035562
 4  5	-13.7797   611.379  -16842.9   550126       -1.03853e+07   -0.00034564
 4  6	-13.329    607.822  -16990.5   575422       -1.11142e+07   -0.000378642
 5  0	-13.728    614.74   -15366.4   434437       -8.43822e+06   -0.000354738
 5  1	-13.9687   568.876  -18966.4   739861       -1.3011e+07    -0.000317172
 5  2	-13.8312   596.173  -11785.5   429252       -1.02522e+07   -0.000339877
 5  3	-13.801    609.06   -13538.6   423067       -8.91727e+06   -0.00032164
 5  4	-13.9885   638.834  -16326.8   427478       -7.81459e+06   -0.000310098
 5  5	-13.5896   689.787  -19385.1   591438       -1.1425e+07    -0.000328442
 5  6	-13.5985   731.718  -23939.3   711891       -1.17274e+07   -0.000308454
 6  0	-14.1572   634.355  -10145.1   145243       -4.80926e+06   -0.000282559
 6  1	-14.0973   618.75   -14088.1   421101       -9.09717e+06   -0.000325206
 6  2	-14.2328   659.806  -14129.2   334690       -7.27384e+06   -0.000278451
 6  3	-14.2541   656.487  -13708     351013       -8.06396e+06   -0.000262617
